date,big data,quantum computing,artificial general intelligence,cryptocurrency,blockchain,metaverse,edge computing,generative ai,chatbot,augmented reality
2017-05,11,1,0,8,14,0.0,0.0,0.0,2.4838012958963285,2.4838012958963285
2017-06,10,1,0,15,16,0.0,0.0,0.0,2.4838012958963285,2.4838012958963285
2017-07,10,1,0,13,14,0.0,0.0,0.0,2.4838012958963285,2.4838012958963285
2017-08,10,1,0,18,18,0.0,0.0,0.0,2.980561555075594,2.4838012958963285
2017-09,11,1,0,19,20,0.0,0.0,0.0,2.980561555075594,4.967602591792657
2017-10,11,1,0,18,24,0.4967602591792657,0.0,0.0,2.980561555075594,3.9740820734341256
2017-11,12,1,0,31,32,0.4967602591792657,0.4967602591792657,0.0,2.980561555075594,3.9740820734341256
2017-12,10,1,0,90,50,0.0,0.0,0.0,2.980561555075594,3.47732181425486
2018-01,10,1,0,100,43,0.4967602591792657,0.4967602591792657,0.0,2.980561555075594,2.980561555075594
2018-02,11,1,0,48,32,0.0,0.4967602591792657,0.0,3.47732181425486,3.47732181425486
2018-03,11,1,0,28,29,0.0,0.4967602591792657,0.0,3.47732181425486,3.47732181425486
2018-04,11,1,0,23,24,0.0,0.4967602591792657,0.0,2.980561555075594,3.47732181425486
2018-05,10,1,0,19,26,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2018-06,9,1,0,15,22,0.0,0.4967602591792657,0.0,2.980561555075594,2.4838012958963285
2018-07,9,1,0,14,21,0.0,0.4967602591792657,0.0,2.980561555075594,2.4838012958963285
2018-08,9,1,0,13,21,0.0,0.4967602591792657,0.0,2.980561555075594,2.4838012958963285
2018-09,11,1,0,13,21,0.0,0.4967602591792657,0.0,2.980561555075594,2.980561555075594
2018-10,12,1,0,11,23,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2018-11,10,1,0,13,22,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2018-12,8,1,0,10,16,0.0,0.4967602591792657,0.0,2.980561555075594,2.4838012958963285
2019-01,10,1,0,8,15,0.0,0.4967602591792657,0.0,2.980561555075594,2.4838012958963285
2019-02,11,1,0,9,16,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2019-03,10,1,0,8,16,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2019-04,9,1,0,9,18,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2019-05,10,1,0,10,20,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2019-06,9,1,0,13,18,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2019-07,9,1,0,10,16,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2019-08,9,1,0,8,14,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2019-09,10,1,0,8,15,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2019-10,10,2,0,7,14,0.0,0.4967602591792657,0.0,3.9740820734341256,2.980561555075594
2019-11,12,1,0,7,15,0.0,0.4967602591792657,0.0,3.47732181425486,2.980561555075594
2019-12,10,1,0,6,13,0.0,0.4967602591792657,0.0,3.47732181425486,2.4838012958963285
2020-01,9,1,0,7,14,0.0,0.4967602591792657,0.0,3.9740820734341256,2.4838012958963285
2020-02,10,1,0,8,14,0.0,0.4967602591792657,0.0,3.9740820734341256,2.4838012958963285
2020-03,9,1,0,9,11,0.0,0.4967602591792657,0.0,3.9740820734341256,2.980561555075594
2020-04,9,1,0,9,13,0.0,0.4967602591792657,0.0,4.470842332613391,2.4838012958963285
2020-05,8,1,0,10,13,0.0,0.4967602591792657,0.0,4.470842332613391,2.4838012958963285
2020-06,8,1,0,8,13,0.0,0.4967602591792657,0.0,3.9740820734341256,2.4838012958963285
2020-07,8,1,0,10,14,0.0,0.4967602591792657,0.0,4.470842332613391,2.980561555075594
2020-08,8,1,0,11,14,0.0,0.4967602591792657,0.0,3.47732181425486,1.9870410367170628
