buzzword,year,month,interest
artificial general intelligence,2023,5,0.0
artificial general intelligence,2023,6,0.0
artificial general intelligence,2023,7,0.0
artificial general intelligence,2023,8,0.0
artificial general intelligence,2023,9,0.0
artificial general intelligence,2023,10,0.0
artificial general intelligence,2023,11,0.0
artificial general intelligence,2023,12,0.0
artificial general intelligence,2024,1,0.0
artificial general intelligence,2024,2,0.0
artificial general intelligence,2024,3,0.0
artificial general intelligence,2024,4,0.0
artificial general intelligence,2024,5,0.0
artificial general intelligence,2024,6,0.0
artificial general intelligence,2024,7,0.0
artificial general intelligence,2024,8,0.0
artificial general intelligence,2024,9,0.0
artificial general intelligence,2024,10,0.0
artificial general intelligence,2024,11,0.0
artificial general intelligence,2024,12,0.0
cryptocurrency,2015,1,0.0
cryptocurrency,2015,2,0.0
cryptocurrency,2015,3,0.0
cryptocurrency,2015,4,0.0
cryptocurrency,2015,5,0.0
cryptocurrency,2015,6,0.0
cryptocurrency,2015,7,0.0
cryptocurrency,2015,8,0.0
cryptocurrency,2015,9,0.0
cryptocurrency,2015,10,0.0
cryptocurrency,2015,11,0.0
cryptocurrency,2015,12,0.0
cryptocurrency,2016,1,0.0
cryptocurrency,2016,2,1.0
cryptocurrency,2016,3,1.0
cryptocurrency,2016,4,1.0
cryptocurrency,2016,5,1.0
cryptocurrency,2016,6,1.0
cryptocurrency,2016,7,1.0
cryptocurrency,2016,8,1.0
cryptocurrency,2016,9,1.0
cryptocurrency,2016,10,1.0
cryptocurrency,2016,11,1.0
cryptocurrency,2016,12,1.0
cryptocurrency,2017,1,1.0
cryptocurrency,2017,2,1.0
cryptocurrency,2017,3,2.0
cryptocurrency,2017,4,3.0
cryptocurrency,2017,5,8.0
cryptocurrency,2017,6,15.0
cryptocurrency,2017,7,13.0
cryptocurrency,2017,8,19.0
cryptocurrency,2017,9,20.0
cryptocurrency,2017,10,18.0
cryptocurrency,2017,11,31.0
cryptocurrency,2017,12,94.0
cryptocurrency,2018,1,100.0
cryptocurrency,2018,2,51.0
cryptocurrency,2018,3,29.0
cryptocurrency,2018,4,22.0
cryptocurrency,2018,5,19.0
cryptocurrency,2018,6,15.0
cryptocurrency,2018,7,14.0
cryptocurrency,2018,8,13.0
cryptocurrency,2018,9,13.0
cryptocurrency,2018,10,11.0
cryptocurrency,2018,11,12.0
cryptocurrency,2018,12,10.0
cryptocurrency,2019,1,9.0
cryptocurrency,2019,2,10.0
cryptocurrency,2019,3,8.0
cryptocurrency,2019,4,9.0
cryptocurrency,2019,5,11.0
cryptocurrency,2019,6,13.0
cryptocurrency,2019,7,10.0
cryptocurrency,2019,8,8.0
cryptocurrency,2019,9,7.0
cryptocurrency,2019,10,7.0
cryptocurrency,2019,11,7.0
cryptocurrency,2019,12,7.0
cryptocurrency,2020,1,8.0
cryptocurrency,2020,2,8.0
cryptocurrency,2020,3,9.0
cryptocurrency,2020,4,9.0
cryptocurrency,2020,5,10.0
cryptocurrency,2020,6,8.0
cryptocurrency,2020,7,10.0
cryptocurrency,2020,8,12.0
cryptocurrency,2020,9,10.0
cryptocurrency,2020,10,9.0
cryptocurrency,2020,11,13.0
cryptocurrency,2020,12,16.0
cryptocurrency,2021,1,34.0
cryptocurrency,2021,2,49.0
cryptocurrency,2021,3,32.0
